2026-03-11 21:51:51.019 INFO  [background-preinit] Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-11 21:51:51.148 INFO  [main] AuthServiceApplication - Starting AuthServiceApplication using Java 21.0.10 with PID 2828 (D:\FoodDeliveryApp\target\classes started by admin in D:\FoodDeliveryApp)
2026-03-11 21:51:51.159 INFO  [main] AuthServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-11 21:51:54.508 INFO  [main] RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-11 21:51:54.514 INFO  [main] RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-11 21:51:54.882 INFO  [main] RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 343 ms. Found 1 JPA repository interface.
2026-03-11 21:51:54.918 INFO  [main] RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-11 21:51:54.921 INFO  [main] RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-03-11 21:51:54.949 INFO  [main] RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface FoodDelivery.auth.Restaurant.RestauarantRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-03-11 21:51:54.949 INFO  [main] RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2026-03-11 21:51:56.794 INFO  [main] TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-03-11 21:51:56.821 INFO  [main] Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-03-11 21:51:56.826 INFO  [main] StandardService - Starting service [Tomcat]
2026-03-11 21:51:56.827 INFO  [main] StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2026-03-11 21:51:56.936 INFO  [main] [/] - Initializing Spring embedded WebApplicationContext
2026-03-11 21:51:56.939 INFO  [main] ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5653 ms
2026-03-11 21:51:57.619 INFO  [main] LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-11 21:51:57.804 INFO  [main] Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-03-11 21:51:57.928 INFO  [main] RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-03-11 21:51:58.557 INFO  [main] SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-11 21:51:58.643 INFO  [main] HikariDataSource - HikariPool-1 - Starting...
2026-03-11 21:51:59.484 INFO  [main] HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1b53e6fc
2026-03-11 21:51:59.488 INFO  [main] HikariDataSource - HikariPool-1 - Start completed.
2026-03-11 21:51:59.611 WARN  [main] deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-11 21:51:59.616 WARN  [main] deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2026-03-11 21:52:01.572 INFO  [main] JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-11 21:52:01.725 INFO  [main] LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-11 21:52:03.136 WARN  [main] JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-03-11 21:52:05.030 INFO  [main] EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2026-03-11 21:52:05.156 INFO  [main] Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-03-11 21:52:05.204 INFO  [main] TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2026-03-11 21:52:05.234 INFO  [main] AuthServiceApplication - Started AuthServiceApplication in 15.001 seconds (process running for 17.797)
